outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address
Inaya medicos,WP002923,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Wholesale Pharmacy,[object Object],28.7140245,77.2701592,33 futa road dayal Pur mustafabad
NEW DEEP MEDICAL,PH111572,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6468061,77.0871861,WZ- 42 OLD SAHIBPURA
Manoj medicos,PH042660,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6109899,77.023275,plot no 9-tara Nagar main kakrola road
SAINIK MEDICOS,PH108535,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4985801,77.1920176,Main market maindan garhi
SHIVAAY MEDICOS,PH062310,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6479024,77.095031,SHOP NO.B-9 G FLOOR DDA COLONY CHAUKHANDI
Shree shyam pharmacy,PH081579,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4892135,77.1911269,Shop no 3 plot no 11old 12kh.n.119
PALAM MEDICOS <P0006>,PH041179,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5832052,77.0877651,"WZ-2,RAJ NAGAR,PALAM-MEHRAULI-ROAD,NEW DELHI-110045"
Sana Medicos,PH127778,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6942295,77.2838572,"B-252, Gali No. -5 Kabir Nagar Delhi"
Milap Medicos,PH126569,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.664322,77.0470184,Tilak Nagar
Tyagi medical store,PH082452,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4929016,77.1804475,C-20 shop no-4 jvts garden
sampooran pharmacy,PH041782,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5827904,77.0886319,rz-f-49sukher bazaar road Raj Nagar part 2 palm colony new Delhi 10077
Pharmacy Hut,PH100214,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6115626,77.0697934,Shop no 2 plot no -160_161 vipan
Roshan medicos,PH116869,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7135222,77.2705062,Old police station 33 futa nehru vihar
PETS WORLD & FISH AQUARIUM-Silver,PS012309,Metro > ASE-SPT-NCR-North-West 2 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.6643933,77.13996,"shop no 13 , 14, 15 sangam market moti nagar new delhi 15"
Ansh medicos,PH109399,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.741874,77.1923164,Shop no-1 g.f kh no-14/10 A-2 Block
