outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address,loginId
Anjali medicos,PH108571,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7773583,77.1747417,Gali no-3 sushant vihar ibrahimpur,DSR-GT-NCR-857
Kavita Medical Store(ROA),PH021293,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6278493,77.1455184,"SHOP NO.2,G.F,ER-28(OPP LAXMI NARAINE MANDIR)INDERPURI,NEW DELHI-12",DSR-GT-NCR-424
Durva medicos,PH087231,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6958203,77.0814162,"D-536, d-537 shop no1 ground floor jj",DSR-NCR-037
Raghav Chemist,PH042835,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5349435,77.26421,"1408/13 , GOVINDPURI NEW DELHI 110019",DSR-NCR-041
Khatri Medical Store,PH049670,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5198123,77.1709836,"3-9, KishanGarh , Gaushala Road, Mehrauli, New Delhi-110030",DSR-NCR-036
FM MEDICOS,PH122005,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6721741,77.0676719,Phase 2 Budh Bazar Road Nangloi,DSR-GT-NCR-652
Dr Rajeev seth-Silver,PV000230,Metro > ASE-SPT-NCR-North-West 1 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Preferred Vet,[object Object],28.5779905,77.1645134,"16, Main Market Anand Niketan New Delhi-110021",FSA-SPT-HAR-014
M R Treders,WG001168,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Wholesale Grocery,[object Object],28.6050224,77.331904,"D-1/188, New Kondali Delhi",DSR-NCR-154
Saga super mart,MGS005140,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Supermarket,[object Object],28.6470097,77.043866,R-2 main Ranholla Road vikas nagar,DSR-GT-NCR-760
Apna pharmacy,PH121741,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5230472,77.1786501,Shop 3 mahurali,DSR-NCR-036
VP MEDI HAAT,PH121388,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5073765,77.1764683,A 244 ambedkar colony chattarpur,DSR-NCR-036
